City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
320,Ostrovnoy,RU,68.05,39.51,51.31,59,65,11.61,broken clouds
321,Borogontsy,RU,62.67,131.17,53.78,61,100,4.74,overcast clouds
322,Vila Velha,BR,-20.33,-40.29,78.8,69,75,9.17,broken clouds
323,San Patricio,MX,19.22,-104.7,77.0,88,75,6.93,broken clouds
324,Den Helder,NL,52.96,4.76,64.99,82,75,17.22,broken clouds
325,Takoradi,GH,4.88,-1.76,79.32,73,81,14.03,broken clouds
326,Nivala,FI,63.92,24.97,62.01,49,82,2.89,broken clouds
327,Parit Buntar,MY,5.13,100.49,86.0,79,40,6.93,thunderstorm
328,Waipawa,NZ,-41.41,175.52,55.4,76,1,16.11,clear sky
329,Pritzwalk,DE,53.15,12.17,72.0,54,98,10.29,overcast clouds
330,Provideniya,RU,64.38,-173.3,47.75,87,50,8.75,scattered clouds
331,Naraura,IN,28.2,78.38,84.81,72,14,8.03,few clouds
332,Barra,BR,-11.09,-43.14,86.95,32,80,8.25,broken clouds
333,Pineville,US,31.32,-92.43,84.99,88,20,5.82,few clouds
334,Mawlaik,MM,23.63,94.42,80.01,88,94,2.19,moderate rain
335,Iqaluit,CA,63.75,-68.51,50.0,76,75,19.46,broken clouds
336,Pinega,RU,64.7,43.39,52.79,87,100,8.72,light rain
337,Ixtapa,MX,20.7,-105.2,78.01,88,75,6.93,broken clouds
338,Bahia Blanca,AR,-38.72,-62.27,47.52,47,4,13.87,clear sky
339,Taveta,KE,-3.4,37.67,82.4,39,20,8.05,few clouds
340,Tarragona,ES,41.13,1.25,70.0,72,40,4.7,light rain
341,Erdenet,MN,49.03,104.08,50.0,93,100,2.15,overcast clouds
342,Hatillo,PR,18.49,-66.83,86.0,75,0,1.99,clear sky
343,Brae,GB,60.4,-1.35,53.6,62,75,14.99,broken clouds
344,Rawson,AR,-43.3,-65.1,42.15,55,0,15.93,clear sky
345,Ust-Nera,RU,64.57,143.2,37.78,75,0,2.53,clear sky
346,Kaeo,NZ,-35.1,173.78,46.0,3,0,2.98,clear sky
347,Yerbogachen,RU,61.28,108.01,57.81,65,100,5.82,overcast clouds
348,Ulaangom,MN,49.98,92.07,57.56,56,100,12.03,overcast clouds
349,Cockburn Town,TC,21.46,-71.14,82.96,76,3,9.35,clear sky
350,Iquitos,PE,-3.75,-73.25,78.8,83,75,2.24,broken clouds
351,Luanda,AO,-8.84,13.23,75.2,73,75,11.41,broken clouds
352,Lubao,PH,14.92,120.55,84.2,79,75,5.82,broken clouds
353,Sibu,MY,2.3,111.82,77.0,100,40,1.12,scattered clouds
354,Lincoln,US,40.8,-96.67,64.4,72,1,6.93,clear sky
355,Otane,NZ,-39.88,176.63,53.01,78,0,8.99,clear sky
356,Tiksi,RU,71.69,128.87,43.32,82,0,6.53,clear sky
357,Marsh Harbour,BS,26.54,-77.06,84.65,68,96,7.09,overcast clouds
358,Havre-Saint-Pierre,CA,50.23,-63.6,55.4,66,1,10.29,clear sky
359,Ahuimanu,US,21.44,-157.84,78.8,65,75,9.17,broken clouds
