City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
626,Kalmunai,LK,82.63,moderate rain,7.42,81.82,VS Villa
632,Morondava,MG,78.03,clear sky,-20.28,44.28,La Case Bambou
633,Sibolga,ID,78.57,overcast clouds,1.74,98.78,Hotel Syariah CN Darussalam
637,Saint-Georges,GD,89.6,scattered clouds,12.06,-61.75,Siesta Hotel
642,Tuckahoe,US,81.0,scattered clouds,37.59,-77.56,The Westin Richmond
644,Ipameri,BR,83.68,few clouds,-17.72,-48.16,Real Hotel
648,New York,US,78.01,overcast clouds,40.71,-74.01,Millennium Hilton New York Downtown
652,San Cristobal,VE,82.4,scattered clouds,7.77,-72.22,Pirineos
655,Matara,LK,81.0,broken clouds,5.95,80.54,Amaloh Boutique Resort
658,Kalianget,ID,81.0,broken clouds,-7.05,113.93,Pesanggrahan Garam
659,Santa,PH,79.45,light rain,17.49,120.43,The Mansion
662,Manali,IN,86.0,mist,13.17,80.27,Sarathy Lodge
666,Krosno,PL,80.01,broken clouds,49.69,21.77,Miły Hotel
